,close,high,init date,low,open,ticker,time,volume
283,6.3,6.5,2020-12-21,6.3,6.49,PROG,2020-12-21 09:30:00,29324.0
284,6.5,6.6,2020-12-21,6.4,6.55,PROG,2020-12-21 09:00:00,4201.0
285,6.52,6.6,2020-12-21,6.36,6.3801,PROG,2020-12-21 08:30:00,23928.0
286,6.43,6.49,2020-12-21,6.38,6.38,PROG,2020-12-21 08:00:00,2098.0
287,6.38,6.5,2020-12-21,6.38,6.38,PROG,2020-12-21 07:30:00,4789.0
288,6.44,6.44,2020-12-21,6.44,6.44,PROG,2020-12-21 07:00:00,100.0
289,6.69,6.69,2020-12-21,6.69,6.69,PROG,2020-12-21 06:00:00,480.0
290,6.7,6.88,2020-12-22,6.65,6.88,PROG,2020-12-22 20:00:00,1296.0
291,6.65,6.68,2020-12-22,6.65,6.68,PROG,2020-12-22 19:00:00,1163.0
292,6.67,6.67,2020-12-22,6.66,6.66,PROG,2020-12-22 18:00:00,720.0
293,6.66,6.66,2020-12-22,6.65,6.65,PROG,2020-12-22 17:30:00,891.0
294,6.6598,6.68,2020-12-22,6.6598,6.66,PROG,2020-12-22 17:00:00,2777.0
295,6.68,6.88,2020-12-22,6.65,6.65,PROG,2020-12-22 16:30:00,5611.0
296,6.67,7.44,2020-12-22,6.53,7.44,PROG,2020-12-22 16:00:00,419137.0
297,7.45,7.49,2020-12-22,7.4,7.43,PROG,2020-12-22 15:30:00,65562.0
298,7.435,7.5,2020-12-22,7.36,7.36,PROG,2020-12-22 15:00:00,70625.0
299,7.3311,7.46,2020-12-22,7.3,7.39,PROG,2020-12-22 14:30:00,108486.0
300,7.38,7.47,2020-12-22,7.34,7.43,PROG,2020-12-22 14:00:00,62688.0
301,7.4,7.5499,2020-12-22,7.26,7.48,PROG,2020-12-22 13:30:00,200980.0
302,7.48,7.5,2020-12-22,7.4,7.44,PROG,2020-12-22 13:00:00,62884.0
303,7.47,7.55,2020-12-22,7.13,7.38,PROG,2020-12-22 12:30:00,187831.0
304,7.38,7.4,2020-12-22,6.955,6.97,PROG,2020-12-22 12:00:00,291331.0
305,6.96,6.9677,2020-12-22,6.8,6.82,PROG,2020-12-22 11:30:00,71232.0
306,6.82,6.83,2020-12-22,6.52,6.535,PROG,2020-12-22 11:00:00,63841.0
307,6.52,6.76,2020-12-22,6.52,6.75,PROG,2020-12-22 10:30:00,110601.0
308,6.76,6.91,2020-12-22,6.5,6.8,PROG,2020-12-22 10:00:00,236819.0
309,6.75,6.75,2020-12-22,6.5,6.58,PROG,2020-12-22 09:30:00,9011.0
310,6.58,6.58,2020-12-22,6.52,6.58,PROG,2020-12-22 09:00:00,1325.0
311,6.63,6.75,2020-12-22,6.58,6.7,PROG,2020-12-22 08:30:00,4013.0
312,6.59,6.7,2020-12-22,6.59,6.7,PROG,2020-12-22 08:00:00,2856.0
313,6.7,6.7,2020-12-22,6.7,6.7,PROG,2020-12-22 07:30:00,265.0
314,6.8,6.8,2020-12-22,6.8,6.8,PROG,2020-12-22 04:30:00,129.0
315,44.24,44.3699,2020-12-21,43.01,44.27,TARS,2020-12-21 16:00:00,18084.0
316,43.51,43.89,2020-12-21,43.095,43.87,TARS,2020-12-21 15:30:00,10552.0
317,43.87,44.17,2020-12-21,42.54,42.68,TARS,2020-12-21 15:00:00,16323.0
318,42.61,42.9,2020-12-21,41.815,41.975,TARS,2020-12-21 14:30:00,9027.0
319,41.905,42.3099,2020-12-21,41.585,41.66,TARS,2020-12-21 14:00:00,8847.0
320,41.15,41.765,2020-12-21,41.0001,41.15,TARS,2020-12-21 13:30:00,7693.0
321,41.15,42.5399,2020-12-21,41.0006,41.97,TARS,2020-12-21 13:00:00,11032.0
322,41.74,43.1,2020-12-21,41.5001,43.1,TARS,2020-12-21 12:30:00,17403.0
323,42.89,44.53,2020-12-21,42.89,43.92,TARS,2020-12-21 12:00:00,9585.0
324,43.7399,43.77,2020-12-21,40.13,43.5,TARS,2020-12-21 11:30:00,44035.0
325,43.48,45.1501,2020-12-21,42.725,44.6,TARS,2020-12-21 11:00:00,30738.0
326,44.5,45.7,2020-12-21,43.0,44.695,TARS,2020-12-21 10:30:00,29239.0
327,45.25,52.9999,2020-12-21,43.5,48.88,TARS,2020-12-21 10:00:00,51592.0
328,49.62,49.62,2020-12-21,49.62,49.62,TARS,2020-12-21 09:00:00,800.0
329,1.76,1.8,2020-12-21,1.76,1.8,TKAT,2020-12-21 20:00:00,4261.0
330,1.76,1.76,2020-12-21,1.76,1.76,TKAT,2020-12-21 19:00:00,500.0
331,1.76,1.76,2020-12-21,1.76,1.76,TKAT,2020-12-21 18:30:00,2000.0
332,1.76,1.76,2020-12-21,1.76,1.76,TKAT,2020-12-21 18:00:00,125.0
333,1.7,1.8,2020-12-21,1.7,1.8,TKAT,2020-12-21 17:00:00,1584.0
334,1.8,1.8,2020-12-21,1.75,1.75,TKAT,2020-12-21 16:30:00,377.0
335,1.74,1.85,2020-12-21,1.74,1.83,TKAT,2020-12-21 16:00:00,29142.0
336,1.84,1.88,2020-12-21,1.83,1.88,TKAT,2020-12-21 15:30:00,13690.0
337,1.88,1.8880000000000001,2020-12-21,1.83,1.85,TKAT,2020-12-21 15:00:00,24494.0
338,1.8511,1.885,2020-12-21,1.81,1.87,TKAT,2020-12-21 14:30:00,31797.0
339,1.87,1.91,2020-12-21,1.87,1.8817,TKAT,2020-12-21 14:00:00,8901.0
340,1.87,1.92,2020-12-21,1.87,1.9,TKAT,2020-12-21 13:30:00,12687.0
341,1.89,1.96,2020-12-21,1.88,1.93,TKAT,2020-12-21 13:00:00,5393.0
342,1.94,2.0126,2020-12-21,1.87,1.91,TKAT,2020-12-21 12:30:00,49055.0
343,1.91,1.99,2020-12-21,1.9,1.9680000000000002,TKAT,2020-12-21 12:00:00,17595.0
344,1.9680000000000002,1.98,2020-12-21,1.87,1.87,TKAT,2020-12-21 11:30:00,35752.0
345,1.87,1.89,2020-12-21,1.85,1.89,TKAT,2020-12-21 11:00:00,24807.0
346,1.8822,2.01,2020-12-21,1.8822,2.0,TKAT,2020-12-21 10:30:00,55299.0
347,1.999,2.14,2020-12-21,1.98,2.14,TKAT,2020-12-21 10:00:00,33890.0
348,2.03,2.03,2020-12-21,2.03,2.03,TKAT,2020-12-21 09:30:00,2784.0
349,2.2,2.2,2020-12-21,2.0,2.0,TKAT,2020-12-21 09:00:00,3530.0
350,1.95,1.95,2020-12-21,1.94,1.94,TKAT,2020-12-21 08:30:00,348.0
351,2.05,2.05,2020-12-21,2.05,2.05,TKAT,2020-12-21 08:00:00,185.0
352,1.97,2.07,2020-12-21,1.94,1.94,TKAT,2020-12-21 07:30:00,2216.0
353,1.94,1.94,2020-12-21,1.94,1.94,TKAT,2020-12-21 07:00:00,124.0
354,1.94,1.94,2020-12-21,1.94,1.94,TKAT,2020-12-21 06:30:00,100.0
355,1.93,1.93,2020-12-21,1.93,1.93,TKAT,2020-12-21 06:00:00,600.0
356,2.28,2.28,2020-12-21,2.28,2.28,TKAT,2020-12-21 04:30:00,1000.0
357,41.89,41.89,2020-12-21,41.4,41.85,UPST,2020-12-21 20:00:00,3573.0
358,42.0,42.0,2020-12-21,41.8,41.98,UPST,2020-12-21 19:30:00,2510.0
359,41.5,41.5,2020-12-21,41.5,41.5,UPST,2020-12-21 19:00:00,100.0
360,41.8,41.8,2020-12-21,41.4,41.6,UPST,2020-12-21 18:30:00,1718.0
361,41.4,41.9,2020-12-21,41.4,41.42,UPST,2020-12-21 18:00:00,3037.0
362,41.4,41.5,2020-12-21,41.4,41.5,UPST,2020-12-21 17:30:00,464.0
363,41.45,41.45,2020-12-21,41.15,41.15,UPST,2020-12-21 17:00:00,3268.0
364,41.26,41.6,2020-12-21,41.26,41.55,UPST,2020-12-21 16:30:00,3791.0
365,41.0,41.87,2020-12-21,41.0,41.5,UPST,2020-12-21 16:00:00,169240.0
366,41.4,41.5,2020-12-21,40.23,41.3685,UPST,2020-12-21 15:30:00,128351.0
367,41.1853,41.4,2020-12-21,40.75,41.32,UPST,2020-12-21 15:00:00,86467.0
368,41.4034,41.6365,2020-12-21,40.75,41.4894,UPST,2020-12-21 14:30:00,121720.0
369,41.3616,43.0,2020-12-21,41.1,42.19,UPST,2020-12-21 14:00:00,136205.0
370,42.2112,43.0,2020-12-21,41.6608,42.0192,UPST,2020-12-21 13:30:00,90082.0
371,42.02,42.2,2020-12-21,41.42,41.76,UPST,2020-12-21 13:00:00,112808.0
372,41.562,42.0,2020-12-21,41.15,41.4358,UPST,2020-12-21 12:30:00,61297.0
373,41.53,42.1,2020-12-21,40.7,41.77,UPST,2020-12-21 12:00:00,114034.0
374,41.7218,42.01,2020-12-21,40.5,40.7787,UPST,2020-12-21 11:30:00,273445.0
375,40.7225,42.77,2020-12-21,40.4,42.24,UPST,2020-12-21 11:00:00,294552.0
376,42.2,44.0,2020-12-21,41.5,42.5,UPST,2020-12-21 10:30:00,279933.0
377,42.5,47.99,2020-12-21,40.0,44.0,UPST,2020-12-21 10:00:00,875975.0
378,44.0,45.0,2020-12-21,43.5,44.0,UPST,2020-12-21 09:30:00,19054.0
379,43.8,44.44,2020-12-21,43.11,43.35,UPST,2020-12-21 09:00:00,6095.0
380,43.35,43.6837,2020-12-21,43.0,43.27,UPST,2020-12-21 08:30:00,9362.0
381,43.23,43.7,2020-12-21,43.23,43.7,UPST,2020-12-21 08:00:00,1961.0
382,43.23,43.5,2020-12-21,41.05,42.5,UPST,2020-12-21 07:30:00,12154.0
383,41.0,41.0,2020-12-21,41.0,41.0,UPST,2020-12-21 07:00:00,1079.0
384,42.55,42.55,2020-12-21,42.55,42.55,UPST,2020-12-21 06:30:00,636.0
385,42.52,42.52,2020-12-21,42.5,42.5,UPST,2020-12-21 06:00:00,490.0
386,42.5,43.33,2020-12-21,42.01,42.55,UPST,2020-12-21 05:30:00,2643.0
387,44.0,44.0,2020-12-21,44.0,44.0,UPST,2020-12-21 05:00:00,383.0
388,43.98,44.0,2020-12-21,43.98,44.0,UPST,2020-12-21 04:30:00,673.0
389,1.34,1.34,2020-12-21,1.32,1.32,VTGN,2020-12-21 20:00:00,4835.0
390,1.32,1.33,2020-12-21,1.32,1.33,VTGN,2020-12-21 19:30:00,6043.0
391,1.34,1.34,2020-12-21,1.32,1.32,VTGN,2020-12-21 19:00:00,1157.0
392,1.34,1.34,2020-12-21,1.33,1.33,VTGN,2020-12-21 18:30:00,1987.0
393,1.33,1.33,2020-12-21,1.3,1.31,VTGN,2020-12-21 18:00:00,600.0
394,1.34,1.36,2020-12-21,1.3,1.31,VTGN,2020-12-21 17:30:00,3294.0
395,1.35,1.35,2020-12-21,1.25,1.28,VTGN,2020-12-21 17:00:00,45149.0
396,1.29,1.38,2020-12-21,1.29,1.38,VTGN,2020-12-21 16:30:00,17266.0
397,1.375,1.39,2020-12-21,1.34,1.3687,VTGN,2020-12-21 16:00:00,592084.0
398,1.365,1.5075,2020-12-21,1.23,1.505,VTGN,2020-12-21 15:30:00,917311.0
399,1.5,1.53,2020-12-21,1.44,1.445,VTGN,2020-12-21 15:00:00,1032354.0
400,1.445,1.45,2020-12-21,1.43,1.435,VTGN,2020-12-21 14:30:00,159312.0
401,1.435,1.455,2020-12-21,1.41,1.445,VTGN,2020-12-21 14:00:00,323240.0
402,1.445,1.48,2020-12-21,1.42,1.4680000000000002,VTGN,2020-12-21 13:30:00,468269.0
403,1.465,1.47,2020-12-21,1.395,1.395,VTGN,2020-12-21 13:00:00,300334.0
404,1.395,1.44,2020-12-21,1.37,1.435,VTGN,2020-12-21 12:30:00,452732.0
405,1.43,1.44,2020-12-21,1.34,1.345,VTGN,2020-12-21 12:00:00,514206.0
406,1.345,1.38,2020-12-21,1.31,1.31,VTGN,2020-12-21 11:30:00,579604.0
407,1.32,1.32,2020-12-21,1.25,1.25,VTGN,2020-12-21 11:00:00,385718.0
408,1.25,1.27,2020-12-21,1.23,1.2302,VTGN,2020-12-21 10:30:00,238779.0
409,1.23,1.3,2020-12-21,1.23,1.27,VTGN,2020-12-21 10:00:00,1064249.0
410,1.2990000000000002,1.31,2020-12-21,1.23,1.27,VTGN,2020-12-21 09:30:00,44239.0
411,1.25,1.28,2020-12-21,1.23,1.24,VTGN,2020-12-21 09:00:00,13802.0
412,1.23,1.35,2020-12-21,1.23,1.27,VTGN,2020-12-21 08:30:00,78359.0
413,1.29,1.3,2020-12-21,1.28,1.3,VTGN,2020-12-21 08:00:00,4180.0
414,1.29,1.35,2020-12-21,1.26,1.28,VTGN,2020-12-21 07:30:00,23259.0
415,1.25,1.25,2020-12-21,1.24,1.24,VTGN,2020-12-21 07:00:00,1249.0
416,1.25,1.25,2020-12-21,1.21,1.22,VTGN,2020-12-21 06:30:00,3605.0
417,1.24,1.27,2020-12-21,1.21,1.27,VTGN,2020-12-21 06:00:00,3383.0
418,1.21,1.21,2020-12-21,1.21,1.21,VTGN,2020-12-21 05:30:00,100.0
419,1.21,1.36,2020-12-21,1.21,1.31,VTGN,2020-12-21 05:00:00,5925.0
420,1.36,1.36,2020-12-21,1.25,1.26,VTGN,2020-12-21 04:30:00,3120.0
421,1.49,1.49,2020-12-22,1.45,1.49,VTGN,2020-12-22 20:00:00,5816.0
